Stock quote and option quote for SPY on 1/12/23 19:04:39

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
396.96,P,+1.44,397.34,P,397.37,P,13 x 18,"90,118,157",396.67,398.485,392.42

UNDERLYING EXTRA INFO
Last Size,Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,FastBeta
0,1.80%,72.97,1.781,Q,12/16/22,472.88,348.11,"856,432,000",1.01

11 JAN 23  (-1)  100 (Weeklys)

12 JAN 23  (0)  100

13 JAN 23  (1)  100 (Weeklys)
,,Volume,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Volume,,
,,14,27.55,Z,28.60,A,13 JAN 23,369,.01,Z,.02,W,653,,
,,100,26.55,Z,27.60,A,13 JAN 23,370,.01,Z,.02,W,"3,893",,
,,5,25.55,Z,26.60,A,13 JAN 23,371,.01,Z,.02,W,971,,
,,11,24.55,Z,25.60,A,13 JAN 23,372,.01,W,.02,W,991,,
,,38,23.57,Z,24.60,A,13 JAN 23,373,.01,W,.02,X,"2,400",,
,,9,22.57,Z,23.60,A,13 JAN 23,374,.01,W,.02,W,"6,518",,
,,70,21.56,Z,22.60,A,13 JAN 23,375,.01,X,.02,W,"6,933",,
,,14,20.56,Z,21.60,Z,13 JAN 23,376,.01,W,.02,Z,"6,082",,
,,56,19.56,Z,20.61,Z,13 JAN 23,377,.02,W,.03,W,"8,968",,
,,94,18.56,Z,19.61,A,13 JAN 23,378,.02,W,.03,X,"5,796",,
,,157,17.56,Z,18.61,A,13 JAN 23,379,.02,W,.03,X,"5,848",,
,,473,16.57,Z,17.40,N,13 JAN 23,380,.02,Z,.03,W,"51,037",,
,,"2,312",15.57,Z,16.61,Z,13 JAN 23,381,.02,W,.03,X,"8,687",,
,,366,14.59,Z,15.20,Q,13 JAN 23,382,.03,W,.04,A,"10,571",,
,,253,13.58,Z,14.62,Z,13 JAN 23,383,.03,N,.04,W,"11,370",,
,,"1,876",12.59,Z,13.63,A,13 JAN 23,384,.04,W,.05,W,"15,528",,
,,"1,543",11.64,Q,12.64,A,13 JAN 23,385,.05,T,.06,W,"35,019",,
,,500,11.00,P,11.65,A,13 JAN 23,386,.05,W,.06,P,"16,764",,
,,625,9.64,Z,10.25,Z,13 JAN 23,387,.07,W,.08,Q,"23,445",,
,,"1,796",8.79,B,9.68,A,13 JAN 23,388,.09,T,.10,Z,"36,000",,
,,"1,246",7.69,Z,8.70,A,13 JAN 23,389,.11,W,.12,Q,"31,250",,
,,"5,872",6.80,Q,7.74,Z,13 JAN 23,390,.15,T,.16,Q,"81,018",,
,,"5,401",5.79,Z,6.50,N,13 JAN 23,391,.21,N,.22,Q,"30,045",,
,,"5,401",4.95,N,5.84,N,13 JAN 23,392,.30,Z,.31,X,"50,821",,
,,"3,855",4.53,N,5.41,N,13 JAN 23,392.5,.35,P,.36,T,"28,293",,
,,"15,359",4.38,B,4.61,Z,13 JAN 23,393,.41,P,.42,P,"82,478",,
,,"33,910",3.65,X,4.08,B,13 JAN 23,394,.59,Z,.60,T,"98,087",,
,,"78,852",2.97,N,2.99,P,13 JAN 23,395,.84,Z,.85,Z,"131,758",,
,,"95,663",2.29,N,2.31,N,13 JAN 23,396,1.17,Z,1.18,E,"105,529",,
,,"130,927",1.71,N,1.73,Q,13 JAN 23,397,1.56,E,1.59,P,"83,093",,
,,"62,235",1.46,Z,1.47,P,13 JAN 23,397.5,1.82,N,1.83,Q,"40,969",,
,,"115,759",1.24,N,1.25,P,13 JAN 23,398,2.09,N,2.11,N,"42,861",,
,,"79,435",.86,Z,.88,Z,13 JAN 23,399,2.71,N,2.79,B,"14,705",,
,,"192,303",.57,W,.58,N,13 JAN 23,400,3.11,H,3.49,B,"10,960",,
,,"46,397",.35,W,.36,Q,13 JAN 23,401,3.85,N,4.74,N,901,,
,,"40,663",.21,E,.22,T,13 JAN 23,402,4.72,N,5.51,N,967,,
,,"9,489",.16,T,.17,W,13 JAN 23,402.5,5.11,N,6.07,N,227,,
,,"21,273",.12,Q,.13,W,13 JAN 23,403,5.54,Z,6.57,Z,208,,
,,"18,038",.06,X,.07,Q,13 JAN 23,404,6.48,Z,7.52,Z,635,,
,,"35,890",.03,W,.04,Z,13 JAN 23,405,7.46,Z,8.49,B,720,,
,,"15,710",.02,W,.03,W,13 JAN 23,406,8.45,Z,9.49,Z,45,,
,,"9,419",.01,W,.02,W,13 JAN 23,407,9.45,Z,10.50,Z,76,,
,,"1,097",.01,W,.02,W,13 JAN 23,407.5,9.96,Z,10.88,Z,1,,
,,"9,473",.01,W,.02,W,13 JAN 23,408,10.44,Z,11.38,Z,40,,
,,"7,147",.01,Q,.02,W,13 JAN 23,409,11.45,Z,12.48,Z,59,,
,,"10,074",.01,Z,.02,X,13 JAN 23,410,12.45,Z,13.48,Q,23,,
,,"1,479",0,J,.01,W,13 JAN 23,411,13.45,Z,14.48,Q,1,,
,,"3,503",0,J,.01,W,13 JAN 23,412,14.32,Q,15.48,Q,<empty>,,
,,"2,303",0,J,.01,W,13 JAN 23,412.5,14.95,Z,15.98,Q,1,,
,,"2,955",0,J,.01,W,13 JAN 23,413,15.45,Z,16.48,Q,4,,
,,474,0,J,.01,W,13 JAN 23,414,16.45,Z,17.48,Z,<empty>,,
,,"3,056",0,J,.01,W,13 JAN 23,415,17.45,Z,18.48,Q,4,,
,,"4,565",0,J,.01,W,13 JAN 23,416,18.45,Z,19.48,Q,<empty>,,
,,"1,144",0,M,.01,X,13 JAN 23,417,19.45,Z,20.49,Z,6,,
,,"1,968",0,M,.01,X,13 JAN 23,418,20.45,Z,21.48,Q,<empty>,,
,,"2,983",0,M,.01,X,13 JAN 23,419,21.45,Z,22.48,Q,2,,
,,"1,319",0,J,.01,X,13 JAN 23,420,22.45,Z,23.48,Q,2,,
,,"3,654",0,J,.01,W,13 JAN 23,421,23.45,Z,24.48,Q,3,,
,,"1,047",0,J,.01,W,13 JAN 23,422,24.45,Z,25.48,Q,<empty>,,
,,503,0,J,.01,W,13 JAN 23,423,25.45,Z,26.48,Q,<empty>,,

17 JAN 23  (5)  100

18 JAN 23  (6)  100 (Weeklys)

19 JAN 23  (7)  100

20 JAN 23  (8)  100

23 JAN 23  (11)  100 (Weeklys)

24 JAN 23  (12)  100

25 JAN 23  (13)  100 (Weeklys)

26 JAN 23  (14)  100

27 JAN 23  (15)  100 (Weeklys)

